内	內
 로 	로 
한 다는	한다는
다 면 	다면 
러 한	러한
다,는	다’는 
같 	같
를한	를 한
이 러	이러
는 지,	는지,
,로	’로
는 가?	는가?
는다음	는 다음
쳤 	쳤
 ’	’
 에게	에게
좋 	좋
시넷	시냇
팬찮	괜찮
겠 	겠
, 라고	’라고
플 러	플러
 이다.	이다.
도 록	도록
기도한다	기도 한다
 기도 한다	기도한다
있는다	있는 다
겼 	겼
,으로	’으로
부 터	부터
냈 	냈
났 	났
 적으로	적으로
르 	르
는다르	는 다르
그런 데	그런데
그 래	그래
도록한다	도록 한다
렇 	렇
 었	었
 만,	만,
갖 	갖
 니다	니다
니 다	니다
 렸	렸
는 가 	는가 
는 가?	는가?
는 가.	는가.
는 가이다	는가이다
는다시	는 다시
찾 	찾
였 	였
는게	는 게
왔 	왔
호홉	호흡
여넓	여덟
무를을	무릎을
①\t	① 
②\t	② 
③\t	③ 
④\t	④ 
⑤\t	⑤ 
⑥\t	⑥ 
⑦\t	⑦ 
⑧\t	⑧ 
⑨\t	⑨ 
⑩\t	⑩ 

==========================
긱혜	각해
7]능	가능
71능	가능
는 가에	는가에
다 른	다른
는 가가	는가가
히는	하는
떨 	떨
는 가를	는가를
는 다는	는다는
==========================
에 서 	에서 
로하여 	로 하여 
설명 하	설명하




鎮物	鑛物
透疼	透疹
瘡傷	瘡瘍
斑疼	斑疹
癒腫	癰腫
 不 	 不
風疼	風疹
麻疼	麻疹
库痛	痺痛
膜理	腠理
膀犹	膀胱
膀腕	膀胱
 둥이 	 등이 
여야한다	여야 한다

P渴	口渴
P 渴	口渴
瘡癒	瘡癰
舌菩	舌苔
摔痛	痺痛
웅용	응용
麟	鱗
銷狀	鞘狀
 이며 	이며 
荀片	苞片
〜	~
 의 	의 
葡萄	葡萄
小技	小枝
揭色	褐色
梭線	稜線
稷線	稜線
~ 	~
 ~	~
陕	陜
殿粉	澱粉
搬粉	澱粉
되 지 	되지 
瘦捧	瘙痒
意®	薏苡
金匿	金匱
설 명	설명
飲	飮
 둥에	 등에
乾蔓	乾薑
웅 용	응용
蒼Tit	蒼朮
白Ttfc	白朮
賢陽	腎陽
賢陰	腎陰
肤寒	祛寒
J恍	胱
)恍	胱
膀 胱	膀胱
케하	케 하
라하여	라 하여
을사용	을 사용
心俘	心悸
自 汗	自汗
充進	亢進
滞	滯
蔑麻	蓖麻
谏蜜	煉蜜
狭	狹
幅逆	嘔逆
하 지 	하지 
을나타	을 나타
하 므	하므
人夢	人蔘
黃民	黃芪
Tlfc	朮
虚	虛
山菜英	山茱萸
敛	斂
库	痺	
 )	)
圓維	圓錐
雄蓝	雄蕊
雌藤	雌蕊
欄圓	橢圓
橘圓	橢圓
한것이	한 것이
揭紅	褐紅
 에도 	에도 
鎮	鎭
胸摔	胸痺
褒飮	痰飮
 癒痕	 癥瘕
心棒	心悸
生蔓	生薑
与藥	芍藥
*棄	大棗
大棄	大棗
7fc	朮
获휴	茯苓
癒血	瘀血
ᄆ乾	口乾
淋滴	淋漓
婦A	婦人
吳菜英	吳茱萸
확藥	芍藥
川혹	川芎
瓜寞	瓜蔞
生墓	生薑
*裏	大棗
Ttt	朮
猪휴	猪苓
澤清	澤瀉
 며,	며,
获爷	茯苓
7ft	朮
Tfc	朮
五爷	五苓
猪茶	猪苓
获	茯
고본다.	고 본다.
感胃	感冒
시 키는	시키는
末稍	末梢
 로서 	로서 
臂陽	腎陽
’ 은 	’은 
祐寒	祛寒
溫臂	溫腎
白与	白芍
 賢 	 腎 
泄濕	泄瀉
勝胱	膀胱
陰桓	陰疽
：	 ： 
  	 
ᄎ	大
賢	腎
肾	腎
疲軟	痠軟
陽瘦	陽痿
Tffc	朮
乾墓	乾薑
*補	大補
臂形	脣形
할때	할 때
葉蔽	葉腋
模形	楔形
綠 色	綠色
铜疾	痢疾
胸腹腺	胸腹脹
幅吐	嘔吐
奮香	藿香
霍香	藿香
茯측	茯苓
洁梗	桔梗
紙娠	姙娠
氣 滯	氣滯
褒多	痰多
幅惡	嘔惡
D區	嘔
莉芥	荊芥
치 료	치료
氣蠻	氣鬱
妊娠	姙娠
生蓄	生薑
赃娠	姙娠
消褒	消痰
( 	(
姬娠	姙娠
히·	하
瓜囊	瓜蔞
疲血	瘀血
*腸	大腸
藤藤子	蘿菔子
褒蜜	痰壅
 褒이	 痰이
祐痕	祛痰
肤風	祛風
짧 	짧
德狀	穗狀
苟片	苞片
가있	가 있
花弯	花萼
雄蔬	雄蕊
構圓	橢圓
 德가	 穗가
解瘦	解痙
晕	暈
莉防	荊防
禪退	蟬退
牛蒂子	牛蒡子
紐血	衄血
地愉	地楡
掠欄	棕櫚
과배합	과 배합
祐風	祛風
痕捧	瘙痒
이있	이 있
 둥과 	 등과 
完活	羌活
充活	羌活
 根蜜	 根莖
 根華	 根莖
葉銷	葉鞘
하 기 	하기 
 우 리	 우리
癥瘕瘡毒	癰疽瘡毒
白:E	白芷
黃측	黃芩
川휴	川芎
牛夢子	牛蒡子
瘦痛	痠痛
畫黃	薑黃
燭 活	獨活
燭活	獨活
澤涛	澤瀉
靈本	藁本
蔓莉子	蔓荊子
을치료	을 치료
跌風	祛風
祐濕	祛濕
霞砂	蠶砂
라고하	라고 하
가요구	가 요구
 제 거	 제거
을복용	을 복용
盧頭	蘆頭
白 ： E	白芷
撒形	繖形
白；E	白芷
排膽	排膿
肝臂	肝腎
花 序	花序
雄藤	雄蕊
花辦	花瓣
花辨	花瓣
備圓	橢圓
瘦攀	痙攣
眉梭	眉稜
涛漏	痔漏
癥瘕瘡瘍	癰疽瘡瘍
通鼓	通竅
眉稜	眉陵
大裏	大棗
生晝	生薑
蒼 朮	蒼朮
黃특	黃芩
柴 胡	柴胡
乳癒	乳癰
豊角	皂角
海螺銷	海螵蛸
辛夷	辛荑
眉稷	眉陵
齒銀	齒齦
止捧	止痒
로인한	로 인한
已 清	已潰
ᄆ襟	口噤
沙參	沙蔘
糖圓	橢圓
넷가	냇가
總茵	總苞
機圓	橢圓
純頭	鈍頭
尊片	萼片
도사용	도 사용
揭 色	褐色
胺風	祛風
目目玄	目眩
目 目玄	目眩
攀急	攣急
止清	止瀉
泄清	泄瀉
秦표	秦艽
秦^	秦艽
秦II	秦艽
纂本	藁本
連鍾	連翹
栃子	梔子
目 赤	目赤
i寫	瀉
止漠	止瀉
黃 民	黃芪
撒梗	繖梗
橋圓	橢圓
鍋齒	鋸齒
銷齒	鋸齒
墓本	藁本
室葉	莖葉
根菜	根莖
根室	根莖
縱稷	縱稜
비 교적	비교적
雄滋	雄蕊
 고, 	고, 
鎭瘦	鎭痙
廳頂	巓頂
泄湯	泄瀉
白:£	白芷
薬本	藁本
寨本	藁本
白효	白芷
莱英	茱萸
通毅	通竅
梶圓	橢圓
花尊	花萼
雄蘇	雄蕊
權圓	橢圓
花董	花蕾
圓雜	圓錐
萄片	苞片
茵片	苞片
하 면 	하면 
花薄	花萼
痕飮	痰飮
白포	白芷
火織	火熾
을忌	을 忌
뾰鈴	兜鈴
 根塞	 根莖
鋭	銳
壶	壼
 혹 은 	 혹은 
 에는	에는
되 어 	되어 
欽	飮
疲飮	痰飮
飮	飮
 둥(	 등(
化痕	化痰
乾養	乾薑
收赦	收斂
倉角	皂角
開關通發	開關通竅
褒咳	痰咳
穩狀花	穗狀花
 菌片	 苞片
止幅	止嘔
化褒	化痰
膜滿	脹滿
寒痕	寒痰
B區	嘔
蔓汁	薑汁
乾幅	乾嘔
生畫	生薑
畫汁	薑汁
竹药	竹茹
始糖	飴糖
褒	痰
0區	嘔
«區	嘔
竹환	竹茹
嚼吐	嘔吐
墓汁	薑汁
止嚼	止嘔
豆惹	豆蔲
竹節	竹茹
炮晝	炮薑
炮畫	炮薑
에사용	에 사용
炮墓	炮薑
癒瘡	癰瘡
涛瘡	痔瘡
紙婦	姙婦
茯품	茯苓
茯혼	茯苓
吐清	吐瀉
濕摔	濕痺
吐紐	吐衄
香薷	香薷
 蔽生	 腋生
雌蓝	雌蕊
 奪毛	 茸毛
稳狀	穗狀
 胶生	 腋生
/? - β-
去疲	去痰
腹清	腹瀉
叠	疊
고하였	고 하였
擁瘦	癱瘓
을제거	을 제거
 花蜜	 花莖
萌果	蒴果
에응용	에 응용
乾蓄	乾薑
下铜	下痢
樓蘇散	檳蘇散
시·용	사용
朔果	蒴果
牛勞子	牛蒡子
禪悅	禪蛻
케한다	케 한다
济蘇	疥癬
總荀	總苞
妨鍾形	紡錐形
拘攀	拘攣
獨涕	濁涕
濕渗	濕疹
黃痕	黃疸
ᄆ渴	口渴
 줄 기	 줄기
 稷角	 稜角
 鸾毛	 茸毛
黃掠色	黃棕色
나라각지	나라 각지
月旨	脂
喉摔	喉痺
ᄆ瘡	口瘡
膜悶	脹悶
牛萝子	牛蒡子
中柩	中樞
酸酵	醱酵
로응용	로 응용
시■용	사용
牛秦子	牛蒡子
牛姜子	牛蒡子
癒疼	癮疹
純圓	鈍圓
械毛	絨毛
撒房	繖房
로배열	로 배열
 臂曲	 彎曲
疲多	痰多
銀鍾散	銀翹散
蓮鍾	蓮翹
庫角	犀角
*黃	大黃
둥.	등.
*便	大便
便糖	便溏
晒 乾	晒乾
錦齒	鋸齒
铅	鉛
祐	祛
嘉祛	嘉祐
蓮翹	連翹
梧梗	桔梗
無疲	無痰
盧根	蘆根
도응용	도 응용
构祀	枸杞
極子	梔子
收流	收澁
目玄	眩
清肺	瀉肺
清白	瀉白
頭弦	頭眩
 滅毛	 絨毛
摘圓	橢圓
疗瘡	疔瘡
蓮翅	連翹
 둥 	 등 
泄演	泄瀉
撒狀	繖狀
弯片	萼片
 英果	 莢果
□渴	口渴
止湯	止瀉
 白 朮 	 白朮 
止涛	止瀉
泄涛	泄瀉
P乾	口乾
涛	瀉
이 고 이고 
 지 름 	 지름 
解蠻	解鬱
ᄆ苦	口苦
 瘡疾,	 瘧疾,
脫紅	脫肛
P苦	口苦
喜幅	喜嘔
道遙散	逍遙散
蠻金	鬱金
A 夢	人蔘
A夢	人蔘
久清	久瀉
脫K	脫肛
胸脇膜痛	胸脇脹痛
温	溫
清肝	瀉肝
肝蠻	肝鬱
懲結	鬱結
白 芍	白芍
解變	解鬱
截瘡	截瘧
繁血	鱉血
우리 나라	우리나라
靑嵩	靑蒿
鶴甲	鼈甲
黃夸	黃芩
人參	人蔘
川 휴	川芎
枯梗	桔梗
黨參	黨蔘
勞擦	勞瘵
毛莫科	毛茛科
 根楚	 根莖
雌蘇	雌蕊
에분포	에 분포
透渗	透疹
ᄆ舌	口舌
充盛	亢盛
墮塞	壅塞
*靑葉	大靑葉
한효능	한 효능
蔓莉	蔓荊
높 이	높이
어 진다	어진다
倒 卵	倒卵
穩狀	穗狀
掠褐色	棕褐色
도있다.	도 있다.
齒艱	齒齦
不 	不
积穀	枳穀
钩	鉤
頭章	頭暈
懷懷	懊憹
었 	었
모 양	모양
lcm	1cm
表 面	表面
掠色	棕色
種膀	種臍
宣蠻	宣鬱
靑萬	菁蒿
蠻熱	鬱熱
變滯	鬱滯
로 써	로써
로써서	로 써서
나 타나	나타나
蕴	蘊
用 하	用하
보 통	보통
風摔	風痺
筋攀	筋攣
疗毒	疔毒
*豆黃	大豆黃
가좋	가 좋
泄海	泄瀉
捧	痺
猪품	猪苓
澤溝	澤瀉
赤与	赤芍
連麵	連翹
黃植	黃疸
瘡济	瘡疥
府熱	疳熱
皮穀	皮殼
 部는 	部는 
을함유	을 함유
明 目	明目
止極	止痙
音®	音啞
療痺	瘙痒
抽捲	抽搐
禪蛻	蟬蛻
禪脫	蟬蛻
退醫	退翳
凑黎	蒺藜
黃폭	黃芩
全赐	全蝎
白遷霞	白彊蠶
媳風	熄風
止瘦	止痙
缺風	祛風
耀閉	癃閉
瘡蘇	瘡癬
赞傷	燙傷
葡荀	葡葍
부 분	부분
血铜	血痢
生醫	生翳
箱子	葙子
演火	瀉火
拘祀	枸杞
清火	瀉火
慎火	瀉火
熱铜	熱痢
灘腫	癰腫
에따	에 따
로구분	로 구분
도하였	도 하였
膽語	譫語
고도한다	고도 한다
ᄆ臭	口臭
驢類	鹽類
發疼	發疹
敵瘡	斂瘡
癒桓	癰疽
梗米	粳米
牙艱	牙齦
瑕用	煆用
假石膏	煆石膏
赦瘡	斂瘡
靑黨	靑黛
濕疼	濕疹
瘡蕩	瘡瘍
日 喃	日晡
日喃	日晡
蠻肺	鬱肺
 假하	 煆하
5肖	硝
瑕石膏	煆石膏
경 우에	경우에
芒稱	芒硝
辛喊	辛鹹
利發	利竅
齒紐	齒衄
石 膏	石膏
芒稍	芒硝
라한다	라 한다
 族生	 蔟生
 花塞	 花莖
함 유	함유
鶴內金	鷄內金
黃相	黃栢
知相地黃	知栢地黃
食愁	食慾
驢水	鹽水
水灸	水炙
織盛	熾盛
 와 	와 
培乾	焙乾
驢	鹽
清	瀉
小稳	小穗
 가 	가 
颖	穎
董根	蘆根
함유 되	함유되
肺凄	肺痿
喧隔	噎膈
肺癒	肺癰
腫臭	腥臭
連翅	連翹
口區	嘔
樓鄉	檳榔
竹妬	竹茹
本 品	本品
吐膽	吐膿
臓贿	臟腑
臓	臟
括樓	栝樓
排膜	排膿
 은 	은 
邊 緣	邊緣
圓 形	圓形
妨維	紡錐
揭黃	褐黃
黃蔑	黃芪
玄夢	玄蔘
蠻結	鬱結
ᄆ燥	口燥
 하고,	하고,
化疲	化痰
瓜奠	瓜蔞
 銀齒	 鋸齒
驚瘤	驚癎
石料	石斛
P舌	口舌
玄參	玄蔘
火蠻	火鬱
积實	枳實
利窮	利竅
竹苑	竹茹
竹歷	竹瀝
n區	嘔
月市	肺
 모 두	 모두
花稳	花穗
猪爷	猪苓
□舌	口舌
果 實	果實
同 屬	同屬
 稷	 稜
弯管	萼管
縱梭	縱稜
가들어	가 들어
檢子	梔子
茵藤	茵蔯
茵蔯嵩	茵蔯蒿
藉節	藕節
霍麥	瞿麥
 나 타	 나타
禾IJ	利
둥)	 등)
  	 
去穀	去殼
瘦瘤	癭瘤
破癒	破癥
稳	穗
 下臂	 下脣
ᄆ 眼	口眼
ᄆ眼	口眼
療瘦	瘰癧
療癌	瘰癧
蠻火	鬱火
을볼	을 볼
窝	窩
淋歷	淋瀝
에많	에 많
鴨妬	鴨跖
結 實	結實
目 醫	目翳
目醫	目翳
鼻紐	鼻衄
醫膜	翳膜
芍 藥	芍藥
風 熱	風熱
 花奮	 花蕾
덮 	덮
披 針	披針
背毛	茸毛
醫障	翳障
湊黎	蒺藜
 竟科	 莧科
挤蘇	疥癬
循子	梔子
陽上充	陽上亢
苦喊	苦鹹
墙味	矯味
喧孔	瞳孔
鶴冠	鷄冠
 건 조	 건조
끄 럽	끄럽
 이 있	이 있
種腾	種臍
어 야한다	어야 한다
湯火	瀉火
寿瘡	痔瘡
地檢	地楡
枳穀	枳殼
淸 熱	淸熱
赤铜	赤痢
蜜炎	蜜炙
脇助	脇肋
張痛	脹痛
ffi痛	澁痛
流膽	流膿
顧損	虧損
條측	條芩
라하고	라 하고
거 나 	거나 
 中助	 中肋
 上臂	 上脣
드 러	드러
開 花	開花
暗 褐	暗褐
瀉铜	瀉痢
白Tit	白朮
桑 白	桑白
白 朮	白朮
解 毒	解毒
凉隔	凉膈
鄉	鄕
慎	瀉
產	産
撒花	繖花
 배 열	 배열
澄黃	橙黃
搭滿	痞滿
晝黃	薑黃
冗盛	亢盛
黃 連	黃連
*寒	大寒
消癌	消痞
止铜	止痢
癌滿	痞滿
등증상	등 증상
內 服	內服
蔓黃	薑黃
描熱	疳熱
盧蒼	蘆薈
痛滿	痞滿
 根巷	 根莖
 根垂	 根莖
检	栓
獎果	漿果
骨 蒸	骨蒸
못實	芡實
傳靑主	傅靑主
填	瀉
淋獨	淋濁
配 伍	配伍
하게하	하게 하
陽充	陽亢
蔓製	薑製
食®	食鹽
 이고 	이고 
 葉膝	 葉腋
 雌蔬	 雌蕊
뚜 렷	뚜렷
□苦	口苦
赛香	麝香
耳襲	耳聾
濱肝	瀉肝
偽	僞
便塘	便溏
诞	涎
苦夢	苦蔘
肤痰	祛痰
济癒	疥癬
斷 面	斷面
金置 要略	金匱要略
金置要略	金匱要略
播痺	搔痒
止择	止痒
米?甘	米泔
黎盧	藜蘆
济痴	疥癬
剥	剝
複棄	複葉
種 子	種子
茯층	茯苓
白攀	白礬
넣 	넣
*豆	大豆
供 乾	烘乾
供乾	烘乾
胸搭	胸痞
腺滿	脹滿
徽盛	熾盛
胸窟	胸痞
 하는 작용	하는 작용
血癒	血瘀
腹腺	腹脹
 데,	데,
효 능	효능
舌綠	舌絳
졌 	졌
이 르	이르
樓息	棲息
苦贼	苦鹹
瘦厥	痙厥
齋香	麝香
*戟	大戟
白표	白芨
石科	石斛
 얄게	 얕게
 하다.	하다.
擁圓	橢圓
揭黑	褐黑
揭灰	褐灰
을가지	을 가지
發渗	發疹
側相	側栢
繁 甲	鱉甲
繁甲	鱉甲
 이라 	이라 
羅藤	蘿菔
藉藤	蘿菔
→ 名	一名
 약 간	 약간
 頻果	 蒴果
腸癒	腸癰
金箱	金箔
牡耀	牡蠣
t季	悸
血散癒	血散瘀
茨층	茯苓
血祛癒	血祛瘀
 응 용	 응용
癒滯	瘀滯
循子	梔子
散癒	散瘀
毛良科	毛茛
스 러	스러
消癒	消癰
散蔽	散瘀
逐癒	逐瘀
通艱	通竅
內癒	內癰
宦角	皂角
蔽血	瘀血
血疲	血瘀
祛蔽	祛瘀
白척	白芍
肤癒	祛瘀
*劑	大劑
院腹	脘腹
뾰 	뾰
精米	糯米
痕疼	痘疹
蜜盛	壅盛
糸工	紅
白 色	白色
茵陳萬	茵陳蒿
瘦腫	癰腫
 葉胶	 葉腋
黃 金	黃金
癒痕	癰疽
胸隔	胸膈
 未瀉	 未潰
하므로써	함으로써
連戴	連翹
 얽은 	 엷은 
癥瘕發背	癰疽發背
黃S	黃芪
治 準繩	治準繩
乳瘦	乳癰
 蜜滯	 壅滯
疗腫	疔腫
疼聴	痄腮
□瘡	口瘡
參藍	蓼藍
 垂葉	 莖葉
 贼 	 鹹 
P瘡	口瘡
夠藤	鉤藤
略血	咯血
喊味	鹹味
痰桐	痰稠
開窮	開竅
瀉爛	潰爛
疲熱	痰熱
號拍	琥珀
磨香	麝香
 痕氣	 痰氣
 蜜塞	 壅塞
P 眼	口眼
P眼	口眼
을설명	을 설명
蜜塞	壅塞
練蜜	煉蜜 
痕涎	痰涎
嚼斜	喎斜
확羊	羚羊
大棄	大棗
玲羊	羚羊
蛋休	蚤休
로분류	로 분류
猪측	猪苓
茯茶	茯苓
 蜜葉	 莖葉
肺瘦	肺癰
肤痕	祛痰
I法	祛
祛疲	祛痰
胃院	胃脘
桂梗	桔梗
殖霞	殭蠶
痕多	痰多
膽攀	膽礬
焰稱	焰硝
僵霞	僵蠶
馬齒竟	馬齒莧
러 졌	러졌
陰痺帶下	陰痒帶下
牙鳥	鴉
苦流	苦澁
收溫	收澁
收敵	收斂
膽血	膿血
鸦	鴉
腐触	腐蝕
賛抚	贅疣
 瘡疾	 瘧疾
冷铜	冷痢
文!哈	文蛤
久铜	久痢
 복용 하	 복용하
吞	呑
敗醫	敗醬
敗營	敗醬
圓 柱	圓柱
慧抜	薏苡
金K要	金匱要
j法	祛
祛癒	祛瘀
膽傷	膿瘍
散疲	散瘀
茵草	茜草
連魏	連翹
陰 乾	陰乾
처 럼	처럼
膨*	膨大
흩 	흩
을억제	을 억제
荒薪子	茺蔚子
棒瘡	痔瘡
棚砂	硼砂
 癒瘤	 癲癎
는 데	는데
白蔽	白蘞
白 蔽	白蘞
花 粉	花粉
癥瘕瀉傷	癰疽潰瘍
鶴蛋	鷄蛋
白S	白芨
不敵	不斂
漏盧	漏蘆
뿌 리	뿌리
 길 고	 길고
은것	은 것
癒谊	癰疽
蜜滯	壅滯
을촉진	을 촉진
 鱗垂	 鱗莖
鱗塞	鱗莖
辦	瓣
紫金鍵	紫金錠
文給	文蛤
 → 年生	 一年生

























ᄎ腦	大腦

(\d)\)\t	\1) 
^\'	‘
(\d) 개	\1개
(\d) 월	\1월
^(\d)\)	\1) 
