 '	 ‘
 병 변	 병변
 보 면	 보면
 복 용	 복용
 복용 하	 복용하
 不 	 不
 부 정	 부정
 府감	 疳감
 部는 	部는 
 분 비	 분비
 분 석	 분석
 불 명	 불명
 비 교	 비교
 臂曲	 彎曲
 臂이	 腎이
 頻果	 蒴果
 쁜	쁜
 사 실	 사실
 사 용	 사용
 사 탐은	 사람은
 사\^하	 사용하
 사통하	 사용하
 상 당	 상당
 상 반	 상반
 상 태	 상태
 上臂	 上脣
 생 각	 생각
 생 활	 생활
 서 양	 서양
 서 양의학	 서양의학
 설 명	 설명
 성 격	 성격
 성인 병	 성인병
 소청통	소청룡
 屬	屬
 속 도	 속도
 垂葉	 莖葉
 스러운	스러운
 시 기	 시기
 시켜	시켜
 신 경정신	 신경정신
 실 시한	 실시한
 실 제	 실제
 心 身證	 心身證
 심 하	 심하
 심 하게	 심하게
 써\,	써,
 아직 도 	 아직도 
 안 \^다\.	 안 된다.
 알 아	 알아
 癌狂	 癲狂
 癌瘤	 癲癎
 았	았
 았다	았다
 야 간 	 야간 
 약 간	 약간
 얄게	 얕게
 얽은 	 엷은 
 었	었
 었다	었다
 에 	에 
 에게	에게
 에는	에는
 에도 	에도 
 에서	에서
 연 약	 연약
 葉膝	 葉腋
 葉胶	 葉腋
 였	였
 英果	 莢果
 와 	와 
 와 병용	와 병용
 와는	와는
 우 리	 우리
 원 칙	 원칙
 웬지	 왠지
 위 해 	 위해 
 유 효	 유효
 癒瘤	 癲癎
 癒證	 癲證
 癒痕	 癥瘕
 으로	으로
 으며	으며
 은 	은 
 銀齒	 鋸齒
 을 	을 
 을 둔	을 둔
 응 용	 응용
 의 	의 
 의 문을 	 의문을
 의 해 	 의해 
 의시는	 의사는
 이 나타	이 나타
 이 되어	이 되어
 이 런	 이런
 이 야기	 이야기
 이 없	이 없
 이 있	이 있
 이 해하	 이해하
 이고 	이고 
 이나 	이나 
 이다\.	이다.
 이라 	이라 
 이며	이며
 이며 	이며 
 이므	이므
 이었	이었
 이었다	이었다
 인 격	 인격
 인 식	 인식
 인 체	 인체
 인 해	 인해
 因性	因性
 일 반	 일반
 일 본	 일본
 일 정하	 일정하
 자 신	 자신
 자 주	 자주
 者\,	者,
 雌蔬	 雌蕊
 작 용	 작용
 장 애	 장애
 적 	적 
 贼 	 鹹 
 적 용	 적용
 적 응	 적응
 적 지	 적지
 적 합	 적합
 적\,	적,
 적으로	적으로
 的인	的인
 적인 	적인 
 전 신	 전신
 접적	접적
 정 맥	 정맥
 정 신	 정신
 제 거	 제거
 族生	 蔟生
 좋은	 좋은 
 좋은  	 좋은 
 줄 기	 줄기
 中助	 中肋
 증 상	 증상
 지 름 	 지름 
 지 않	지 않
 지 않은	지 않은
 지와면서	 자라면서
 지이\"	 자아
 지주 	 자주 
 稷	 稜
 稷角	 稜角
 차 이	 차이
 瘡疾	 瘧疾
 瘡疾\,	 瘧疾,
 청 소년	 청소년
 체 질	 체질
 치투	 치루
 奪毛	 茸毛
 湯\,	湯,
 痛\, 狂	 癲, 狂
 痛에	 癲에
 痛은 心血不足	 癲은 心血不足
 痛證\,	 癲證,
 투 여	 투여
 판한 	 관한 
 篇	篇
 篇』	篇』
 폐 색	 폐색
 蔽生	 腋生
 褒蠻	 痰鬱
 褒이	 痰이
 하 고	 하고
 하 는	 하는
 하 복	 하복
 하 지	 하지
 하게 	하게 
 하고\,	하고,
 하는 작용	하는 작용
 하다\.	하다.
 下臂	 下脣
 하여 	하여 
 한 것	한 것
 한 방약	 한방약
 한 방을	 한방을
 한 방제제	 한방제제
 한 의학	 한의학
 한다\.	한다.
 한의 학	 한의학
 항 생제	항생제
 허 약	 허약
 賢뿐	 腎뿐
 賢에	 腎에
 賢을	 腎을
 賢이	 腎이
 혈 관	 혈관
 혈 압	 혈압
 혈 전	 혈전
 혹 은 	 혹은 
 花蜜	 花莖
 花奮	 花蕾
 花塞	 花莖
 환 지	 환자
 환지	 환자
 효 과	 효과
 효과 적	 효과적
 胶生	 腋生
 痕氣	 痰氣
 히 	히 
#門冬	麥門冬
#삭돌	축삭돌
(\d) 개	$1개
(\d) 월	$1월
(\d)\t	$1) 
(\s)'	$1‘
(\s)"	$1“
(\s)\^울증	$우울증
(\s)4용	$1사용
(\s)7\]능	$1가능
(\s)7\]족	$1가족
(\s)A\]용	$1사용
(\s)Ttt 	朮
(\s)Ttt 甘	朮甘
(\s)Ttt 湯	朮湯
(\s)에	에
(\s)여 기	$1여기
(\s)연 구	$1연구
(\s)염 증	$1염증
(\s)였	였
(\s)오 래	$1오래
\)恍	胱
\*戟	大戟
\*棄	大棗
\*豆	大豆
\*豆黃	大豆黃
\*裏	大棗
\*補	大補
\*腸	大腸
\*劑	大劑
\*靑葉	大靑葉
\*便	大便
\*寒	大寒
\*黃	大黃
\,	, 
\, 라고	’라고
\, 賢	, 腎
\,라는 	’라는 
\,로	’로
\,으로	’으로
\.\.\.	…
\/v夢	人蔘
：	: 
:  	: 
；t 甘	朮甘
;易	湯
;湯	湯
^\(\d\)\)	$1) 
^\'	‘
_方	一方
~ 	~
’ 라	’라
’ 은 	’은 
’ 이	’이
’•甘藍味辛!仁i	苓甘薑味辛夏仁湯
’는	’는 
〈	 <
〉	>
「上古天眞	『上古天眞
『腦內革命J	『腦內革命』
\"이라	”이라
\(古方®	(古方派)
\(祉\)	(趾)
\(賢	(腎
\)!!候	腹候
\)’寫	瀉
\)s黃劑	麻黃劑
\*氣	大氣
\*道	大道
\*方	大方
\*小	大小
\*柴胡	大柴胡
\*著	黄耆
\*主	大主
\*阪	大阪
\*學	大學
\*黃甘草	大黃甘草
\?桂	苓桂
\^•§•체	수용체
\^였다	하였다
\^용체	수용체
\^ᅡ	사
\{水毒\)	(水毒)
\-\-其	一其
\-\-端	一端
\+味敗	十味敗
\+全大	十全大
\<古方®	(古方派)
\<心下\)	(心下)
\<寒\)	(寒)
\>1•	유아
'\I忽	惚
\l40	140
\lOO	100
\t\t보麥ᄎ	甘麥大
\-貫 堂	一貫堂
\-貫堂	一貫堂
«區	嘔
»上择	臍上悸
□	口
□渴	口渴
□苦	口苦
□鼻	口鼻
□舌	口舌
□瘡	口瘡
□齒	口齒
□ᅡ	마
→ 名	一名
®損	虧損
•	·
0客	喀
0區	嘔
0君子	四君子
①\t	① 
11歲	噦
11胃承氣	調胃承氣
1季	悸
1方纖	漢方槪論
1한방의학’	‘한방의학’
②\t	② 
③\t	③ 
④\t	④ 
⑤\t	⑤ 
5병杏仁	茯苓杏仁
5쟎飮	茯苓飮
5肖	硝
⑥\t	⑥ 
⑦\t	⑦ 
⑧\t	⑧ 
⑨\t	⑨ 
⑩\t	⑩ 
7\]능	가능
7\]능해	가능해
7\]눙	가능
7\>족	가족
71능	가능
71부장	가부장
7fc	朮
7ft	朮
7ft甘	朮甘
7ᅵ분	기분
8S上洋	臍上悸
8S上择	臍上悸
A 夢	人蔘
A 性	人性
A 體	人體
A1 냅스	시냅스
Af상	사상
Af용	사용
a經活血	疎經活血
A夢	人蔘
A民	人民
A性	人性
A絶	人絶
A體	人體
BI下	臍下
BS上择	臍上悸
BT氣	肝氣
B區	嘔
D 區	嘔
〜dence	evidence
DSM\"I	DSM-I
DSM-m	DSM-III
d區	嘔
eg◦	ego
ffi上If	臍上悸
ffi儀	巫儀
ffi痛	澁痛
ffi血	補血
ffl醫	巫醫
fH冬湯	麥門冬湯
fS杏甘石	麻杏甘石
f客	喀
f季	悸
HZ	Hz
H下择	臍下悸
I!白皮	桑白皮
ICD\-lO	ICD-10
'I季	悸
I法	祛
i寫	瀉
j法	祛
j寫	瀉
J恍	胱
K 上择	臍上悸
K門	肛門
K上择	臍上悸
lcm	1cm
m中益氣	補中益氣
m杏甘石	麻杏甘石
n區	嘔
P 渴	口渴
P 眼	口眼
P渴	口渴
P乾	口乾
P苦	口苦
P舌	口舌
P眼	口眼
P瘡	口瘡
r 內景篇」	「內景篇」
r 外形篇」	「外形篇」
r 雜病篇」	「雜病篇」
r 증후편」	「증후편」
r 風病諸候	『風病諸候
r四氣調神	『四氣調神
r上古天	『上古天
R上洋	臍上悸
r宣明五氣	『宣明五氣
r陰陽應象	『陰陽應象
r증후편」	「증후편」
r치료편」	「치료편」
S 甘草湯	炙甘草湯
symb이	symbol
S方	古方
s上梓	臍上悸
S心湯	瀉心湯
S枝	桂枝
Tfc	朮
Tffc	朮
tig정선	신경정신
Tlfc	朮
Ttt	朮
Ttt甘	朮甘
Ttt湯	朮湯
t季	悸
t正仲	怔忡
Wdence	evidence
W上 1f	臍上悸
W上偉	臍上悸
w上择	臍上悸
y 글로불린	γ글로불린
y\-GTP	γ-GTP
y글로불린	γ글로불린
加 Jtt 附	加朮附
가 운데	가운데
加;1t 附	加朮附
加;itt 湯	加朮湯
嘉祛	嘉祐
加求湯	加朮湯
가되고	가 되고
가되는	가 되는
가된다	가 된다
가들어	가 들어
加龙湯	加朮湯
가많	가 많
加味通通	加味逍遙
가분명	가 분명
假石膏	煆石膏
가야할	가야 할
가요구	가 요구
가있	가 있
가존재	가 존재
가좋	가 좋
가중요	가 중요
가특징	가 특징
가포함	가 포함
角賛皮	角贅皮
癎癎	癲癎
간것	간 것
肝蠻	肝鬱
肝蜜	肝鬱
谏蜜	煉蜜
肝攀	肝鬱
肝臂	肝腎
肝賢	肝腎
减	減
感胃	感冒
甘草끓	甘草湯
감초팅	감초탕
講諫	講諦
綱胃	調胃
僵霞	僵蠶
降下港	降下湯
綱血	調血
姜黃	萎黃
같 	같
皆 屬	皆屬
開 花	開花
開關通發	開關通竅
開窮	開竅
皆履	皆屬
開蠻	開鬱
객 	객
舉	擧
거 나 	거나 
거 림	거림
去穀	去殼
祛癒	祛瘀
祛蔽	祛瘀
去疲	去痰
祛疲	祛痰
건 망	건망
健 忘	健忘
건 중탕	건중탕
건&탕	건강탕
乾«湯	乾薑湯
乾■湯	乾薑湯
乾薑易	乾薑湯
乾藍湯	乾薑湯
乾蓮渴	乾薑湯
乾蔓	乾薑
乾墓	乾薑
乾塞湯	乾薑湯
乾養	乾薑
건중 탕	건중탕
建中游	建中湯
建中淸	建中湯
乾蓄	乾薑
乾幅	乾嘔
检	栓
檢子	梔子
것 으	것으
것 을	것을
것 이	것이
것같	것 같
揭 色	褐色
게된	게 된
揭色	褐色
게하	게 하
게한	게 한
揭紅	褐紅
揭黃	褐黃
揭灰	褐灰
揭黑	褐黑
겠 	겠
겨 져	겨져
見A	見人
肩肿	肩胛
결 과	결과
結 實	結實
結梗	桔梗
結梗湯	桔梗湯
缺風	祛風
겼 	겼
경 우에	경우에
경 향	경향
경 험	경험
慶끓	慶熙
驚惊	驚悸
驚瘤	驚癎
梗米	粳米
驚俘	驚悸
경불 순	경불순
驚择	驚悸
經疲眩	脛痠眩
驚懐	驚悸
계 속	계속
계 지탕	계지탕
계 피	계피
桂梗	桔梗
械毛	絨毛
계지 탕	계지탕
桂枝5병丸	桂枝茯苓丸
桂枝膀丸	桂枝茯苓丸
계지복 령환	계지복령환
桂枝碑丸	桂枝茯苓丸
桂枝易	桂枝湯
桂枝海	桂枝湯
계择	계悸
库	痺
고 \^다\.	고 있다.
고 플	고플
고 하 \^다	고 하였다
苦is	苦滿
庫角	犀角
枯梗	桔梗
고기술	고 기술
고끊	고 끊
고나서	고 나서
고도한다	고도 한다
苦流	苦澁
鼓膜	鼓脹
苦夢	苦蔘
고방 파	고방파
고본다	고 본다
고생각	고 생각
顧損	虧損
고식 염	고식염
고여겨	고 여겨
고있	고 있
고있다	고 있다
苦贼	苦鹹
고적용	고 적용
库痛	痺痛
고하였	고 하였
苦喊	苦鹹
鼓懐	鼓慄
고ᅡ	과
곤 란	곤란
棍子	梔子
骨 蒸	骨蒸
곰 팡이	곰팡이
供 乾	烘乾
공 격	공격
供乾	烘乾
과 도 	과도 
과 민성	과민성
果 實	果實
과 학의 	과학의 
과같	과 같
과관련	과 관련
瓜囊	瓜蔞
瓜寞	瓜蔞
과배합	과 배합
過遙散	逍遙散
과유사	과 유사
瓜奠	瓜蔞
過充	過亢
鍋齒	鋸齒
霍麥	瞿麥
霍香	藿香
관 계	관계
관 점	관점
관 찰	관찰
關窮	關竅
관람근	판람근
觀紅	顴紅
括樓	栝樓
狂A	狂人
橋圓	橢圓
柩	樞
惧	惕
구 균	구균
口 襟	口噤
구 조	구조
口!음	마음
拘«	拘«
拘«	拘攣
求甘湯	朮甘湯
口區	嘔
口襟	口噤
久铜	久痢
夠藤	鉤藤
拘攀	拘攣
口臂	口脣
拘祀	枸杞
构祀	枸杞
溝上	淸上
構圓	橢圓
口醫	口脣
口脊	口脣
久清	久瀉
苟片	苞片
溝肺	淸肺
钩	鉤
君子；«	君子湯
君子淸	君子湯
君子港	君子湯
窟悶	痞悶
權圓	橢圓
捲溺	搐搦
菌끓萬	茵蔯蒿
菌표萬	茵蔯蒿
橘圓	橢圓
그 래	그래
그 런	그런
그 리고	그리고
그러 나	그러나
그런 데	그런데
그요지	그 요지
그이상	그 이상
극 단	극단
極子	梔子
근 골	근골
근 본	근본
筋攀	筋攣
根室	根莖
根藉	根@@蒂
根菜	根莖
금 궤요략	금궤요략
襟0	噤口
錦齒	鋸齒
急 方	急方
給A	給人
急後M	急後重
機 	機
기 \.혈•수	기•혈•수
기 능	기능
氣 攀	氣鬱
氣 滯	氣滯
기 초	기초
氣 虛	氣虛
氣 血•水	氣•血•水
기\(M\)	기(氣)
肌紐	肌衄
기도한다	기도 한다
氣蠻	氣鬱
氣攀	氣鬱
氣變\,	氣鬱,
棄賦	稟賦
기역\(氣왠	기역(氣逆
기와혈	기와 혈
기울\(氣蜜	기울(氣鬱
기울\(氣變	기울(氣鬱
機圓	橢圓
기허 M	기허氣虛
기허tui	기허氣虛
긱혜	각해
긴장 되	긴장되
길 항	길항
洁梗	桔梗
金B要	金匱要
金K要	金匱要
金R要	金匱要
金匿	金匱
金匿要	金匱要
金匪要	金匱要
金箱	金箔
金隱要	金匱要
金置 要略	金匱要略
金置要略	金匱要略
까 지	까지
끄 럽	끄럽
끊 	끊
끓合	湯合
끼 는	끼는
나 는 	나는 
나 타나	나타나
나H로	나므로
나라각지	나라 각지
나타 \^다\.	나타난다.
나타 난	나타난
나타니	나타나
난 다\.	난다.
났 	났
内	內
내 게	내게
내 과비록	내과비록
內 服	內服
내 용	내용
內谏	內煉
內癒	內癰
냈 	냈
냉;\^	냉冷
너 지	너지
넓 	넓
넣 	넣
네폐질	네페질
넷가	냇가
年 老	年老
노夢	人蔘
노창\(怒膨	노창(怒脹)
노ᅵ	뇌
논 의하	논의하
높 	높
높 아	높아
높 이	높이
놓 	놓
腦 髓	腦髓
腦窮	腦竅
뇌하\^체	뇌하수체
嫩水	漱水
눌수있	눌 수 있
뉴 런	뉴런
紐血	衄血
늄枝	桂枝乾
느 냐	느냐
는	는
는 가 	는가 
는 가\.	는가.
는 가\?	는가?
는 가가	는가가
는 가를	는가를
는 가에	는가에
는 가이다	는가이다
는 다	는다
는 다는	는다는
는 지\,	는지,
는것	는 것
는게	는 게
는경	는 경
는근거	는 근거
는내	는 내
는다르	는 다르
는다시	는 다시
는다음	는 다음
는듯	는 듯
는모	는 모
는방제	는 방제
는사	는 사
는설	는 설
는소	는 소
는용	는 용
는의미	는 의미
는일	는 일
는작 	는 작
는증후	는 증후
는처	는 처
니 다	니다
니 트로	니트로
니누	나누
呢逆	呃逆
니이\" 가	나아가
니이•	나아
溺	溺
다 는 	다는 
다 란	다란
다 른	다른
다 면 	다면 
다 음	다음
다\, 고 	다’고 
다\,는	다’는 
다\-	다.
다\.	다. 
다\.  	다. 
다\^	다.
다■	다.
다고되	다고 되
다고한다	다고 한다
다는	다는 
다음과 \^다	다음과 같다
茶甘■味	苓甘薑味
茶甘蓮味	苓甘薑味
茶桂	苓桂
多蠻	多鬱
茶墓朮	苓薑朮
단 계	단계
단 독	단독
斷 面	斷面
단 순	단순
蛋休	蚤休
담 당	담당
痰桐	痰稠
膽妄	譫妄
膽攀	膽礬
膽傷	膿瘍
膽語	譫語
담疲	담痰
膽血	膿血
答桂朮	苓桂朮
당 귀	당귀
당 뇨	당뇨
당귀 작약산	당귀작약산
當 歸	當歸
當\^芍藥	當歸芍藥
唐®仁湯	木防己湯
當fS芍藥	當歸芍藥
當歸芍藥	當fS芍藥
糖上择	臍上悸
當腺	當腑
糖圓	橢圓
黨參	黨蔘
大 小	大小
대 조	대조
大\*牡丹皮	大黃牡丹皮
大轰	大棗
大棄	大棗
大裏	大棗
대맥\(帶M	대맥(帶脈
大補황	大補湯
대湯\)	대황)
大黃®蟲	大黃蟅蟲
대황大\*	대황大黃
大黃港	大黃湯
大黃黃	大黃
더 불	더불
더 욱	더욱
德狀	穗狀
던 져	던져
던증	던 증
덧 붙	 덧붙
덮 	덮
데이 터	데이터
뎨 지 	계지
뎨지	계지
涛	瀉
도 \^다\.	도 한다.
導 氣	導氣
도 띠와	도 따라
倒 卵	倒卵
도 록	도록
도 핵승기	도핵승기
堵茶	猪苓
도록한다	도록 한다
涛漏	痔漏
도불리	도 불리
도사용	도 사용
涛泄	瀉泄
道遙散	逍遙散
도응용	도 응용
도있	도 있
도있다\.	도 있다.
涛瘡	痔瘡
萄片	苞片
도하였	도 하였
도핵 승기	도핵승기
堵홉	猪苓
涛火	瀉火
獨夢	獨蔘
督悶	瞀悶
獨涕	濁涕
돌 아	돌아
동 계	동계
同 屬	同屬
동 안	동안
東 醫	東醫
東 醫寶	東醫寶
東 훌寶鑑	東醫寶鑑
東;同	東洞
東±D	東垣
董根	蘆根
동맥경 화	동맥경화
東쁠	東醫
铜疾	痢疾
疼聴	痄腮
되 는	되는
되 어	되어
되 어 	되어 
되 지 	되지 
되기도한다	되기도 한다
된 다\.	된다.
된 다고	된다고
될 수록	될수록
될것	될 것
될수	될 수
두 중감	두중감
頭 暈	頭暈
杜螺	牡蠣
頭嶺	頭巓
杜瑪	牡蠣
豆惹	豆蔲
頭章	頭暈
杜蝶	牡蠣
頭弦	頭眩
둥\)	 등)
둥\.	등.
드 러	드러
드 陽	三陽
드陽	三陽
드陰	三陰
드黃	三黃
드黃心湯	三黃瀉心湯
드喜	三喜
득歸膠	芎歸膠
들 어	들어
들 에게	들에게
들 이	들이
藤藤子	蘿菔子
腾上俘	臍上悸
腾上择	臍上悸
등증상	등 증상
腾下	臍下
腾下1季	臍下悸
디른	다른
따 라	따라
따라일	따라 일
때 문	때문
떨 	떨
떨 어	떨어
떻心湯	瀉心湯
또立	王立
또冰	王冰
또昂	王昂
또淸	王淸
또學	王學
또惠	王惠
뚜 렷	뚜렷
뛰 어	뛰어
뛰어	뛰 어
뜻 하	뜻하
띠과서	따라서
띠리	따라
띠와 서	따라서
띠와서	따라서
懒	懶
라 \^다\.	라 한다.
라 고 	라고 
라 고 한	라고 한
라 고한	라고 한
라고하	라고 하
라고한	라고 한
라고한다	라고 한다
羅藤	蘿菔
羅富	蘿葍
라사용	라 사용
라정리	라 정리
라틴	 라틴
라하고	라 하고
라하여	라 하여
라한다	라 한다
란 다	란다
欄圓	橢圓
拉治	竝治
郎	郞
莱英	茱萸
冷铜	冷痢
掠褐色	棕褐色
掠欄	棕櫚
掠色	棕色
略血	咯血
凉隔	凉膈
러 나 	러나 
러 므	러므
러 운	러운
러 졌	러졌
러 한	러한
러H로	러므로
러가	러 가
렇 	렇
레 스	레스
레이 저	레이저
렙 토	렙토
驢	鹽
려 움	려움
黎盧	藜蘆
驢類	鹽類
驢水	鹽水
練經活	疏經活
蓮翹	連翹
連戴	連翹
連勉	連翹
連麵	連翹
練蜜	煉蜜 
蓮翅	連翹
連翅	連翹
連熱湯	蓮翹湯
連魏	連翹
蓮鍾	蓮翹
連鍾	連翹
連鍾湯	蓮翹湯
戀症	鬱症
戀滯	鬱滯
敛	斂
苓甘藍味	苓甘薑味
靈框	靈樞
靈框 	靈框樞
靈框樞	靈樞
靈本	藁本
玲羊	羚羊
苓港	苓湯
苓황	苓湯
例水	冽水
로 서 	로서 
로 소 	로소 
로 써	로써
로 써 	로써 
로 운	로운
로 인 하	로 인하
로구분	로 구분
盧根	蘆根
盧頭	蘆頭
로많	로 많
로배열	로 배열
로분류	로 분류
로써서	로 써서
로응용	로 응용
로인한	로 인한
勞擦	勞瘵
盧蒼	蘆薈
로폭넓	로 폭넓
로표	로 표
로하여	로 하여
로하여 	로 하여 
로한다	로 한다
로했	로 했
綠 色	綠色
碌經	疏經
록한다	록 한다
論」	論』
疗毒	疔毒
療痺	瘙痒
療瘦	瘰癧
療癌	瘰癧
疗腫	疔腫
疗瘡	疔瘡
漏盧	漏蘆
樓蘇散	檳蘇散
漏承氣湯	桃核承氣湯
樓息	棲息
樓掷	檳榔
樓鄉	檳榔
瘤	癎
劉 河	劉河
流膽	流膿
六 味丸	六味丸
六膽	六腑
六蠻	六鬱
六贿	六腑
르 	르
르 네	르네
르 러	르러
를 띠와	를 따라
를 사\^하	를 사용하
를가	를 가
를거	를 거
를넘	를 넘
를느	를 느
를늘	를 늘
를들	를 들
를말	를 말
를바	를 바
를요	를 요
를이	를 이
를제	를 제
를중심	를 중심
를증	를 증
를치	를 치
를포	를 포
를하	를 하
를한	를 한
菱했仁	薏苡仁
리 키	리키
利A	利人
莉芥	荊芥
利窮	利竅
리는 뜻	라는 뜻
莉茶	荊芥
리돔	리듬
리듬	 리듬
利發	利竅
莉防	荊防
莉芬	荊芥
리비도	 리비도
麟	鱗
鱗塞	鱗莖
麟蘇	麟癬
림 프	림프
淋獨	淋濁
淋歷	淋瀝
淋滴	淋漓
립 신	립신
ᄆ	口
ᄆ 眼	口眼
ᄆ渴	口渴
ᄆ乾	口乾
ᄆ苦	口苦
ᄆ襟	口噤
ᄆ舌	口舌
ᄆ眼	口眼
ᄆ燥	口燥
ᄆ瘡	口瘡
ᄆ臭	口臭
마 르	마르
마 른	마른
마 이너	마이너
마 지	마지
麻各蒼甘	麻杏薏甘
麻疼	麻疹
麻务	麻杏
磨損	虧損
馬齒竟	馬齒莧
磨香	麝香
麻血	瘀血
漠肝	瀉肝
膜理	腠理
膜滿	脹滿
膜悶	脹悶
막이주	막아주
寞黑	糞黑
弯	穹
만 족	만족
蠻結	鬱結
弯管	萼管
蠻氣	鬱氣
蠻金	鬱金
蠻怒	鬱怒
蔓莉	蔓荊
蔓莉子	蔓荊子
蠻病	鬱病
蠻熱	鬱熱
蠻欲	鬱欲
蠻者	鬱者
蔓製	薑製
蔓汁	薑汁
蠻症	鬱症
蠻證	鬱證
蠻滯	鬱滯
弯片	萼片
蠻肺	鬱肺
蠻閉	鬱閉
蠻火	鬱火
蔓黃	薑黃
많	 많
많 	많
말 \^다\.	말한다.
末稍	末梢
芒碑	芒硝
芒銷	芒硝
망싱	망상
芒稍	芒硝
芒稱	芒硝
芒確	芒硝
매 우	매우
매 핵	매핵
罵冒	罵詈
麥大藥湯	麥大棗湯
脈浪	脈澁
脈液	脈澁
脈이 流	脈이 澁
脈짧	脈澁
萌果	蒴果
메털	메틸
糸工	紅
蔑麻	蓖麻
明 目	明目
명확 하	명확하
모 델	모델
모 양	모양
牡«湯	牡蠣湯
牡■湯	牡蠣湯
牡機	牡蠣
牡螺	牡蠣
毛良科	毛茛
모려 탕	모려탕
牡蠣끓	牡蠣湯
牡蠣淸	牡蠣湯
牡蠣황	牡蠣湯
모르 핀	모르핀
모르펀	모르핀
牡瑪	牡蠣
毛莫科	毛茛科
牡耀	牡蠣
牡場	牡蠣
牡蝶	牡蠣
牡爆	牡蠣
牡嫌 湯	牡蠣湯
模形	楔形
目 目玄	目眩
目 醫	目翳
目 赤	目赤
목단피 탕	목단피탕
目流眼花	目澁眼花
目目玄	目眩
目醫	目翳
目港眼	目澁眼
目玄	眩
몰이•	몰아
못 \^다\.	못 한다.
못朴湯	柴朴湯
못實	芡實
못馳龍骨	柴胡加龍骨
못胡	柴胡
夢蘇飮	蔘蘇飮
墓本	藁本
描熱	疳熱
墓汁	薑汁
無力或乳	無力或芤
無菩	無苔
무엇 보다	무엇보다
무의 식	무의식
무자이중	부자이중
無疲	無痰
黙	默
文!哈	文蛤
文給	文蛤
문류	분류
勿課藥	勿誤藥
므 	므
므\^ 	므로 
米\?甘	米泔
眉稜	眉陵
眉梭	眉稜
梶圓	橢圓
彌中景	張仲景
미지 황	미지황
眉稷	眉陵
민김	민감
밀 접	밀접
蜜塞	壅塞
蜜盛	壅盛
蜜炎	蜜炙
蜜滯	壅滯
蜜閉	壅閉
및	 및 
및  	및 
바 란	바란
바로그	바로 그
剥	剝
밖 의	밖의 
반 리비도	반리비도
반 복	반복
