賈	賈
吝	린
燐	린
璘	린
藺	린
隣	린
鱗	린
麟	린
林	림
淋	림
臨	림
立	립
笠	립
粒	립
磻	반
復	복
輻	복
不	부
北	북
殺	살
狀	상
塞	새
索	색
省	성
數	수
拾	습
識	식
什	십
惡	악
若	약
易	역
葉	엽
阮	완
異	이
咽	인
刺	자
炙	자
切	절
辰	진
車	차
參	참
拓	척
沈	침
便	편
暴	폭
泌	필
行	행
瑩	형
滑	활
暈	훈
龜	구
寧	녕
說	설
率	솔
樂	락
樂	락
